TIME,GEO,UNIT,COMPENSATION,ECASE,TAXRATE,NUM
2010,Austria,Euro,25.1,"Single person without children, 50% of AW",20.43,1
2011,Austria,Euro,25.6,"Single person without children, 50% of AW",21.17,1
2012,Austria,Euro,26.5,"Single person without children, 50% of AW",21.73,1
2013,Austria,Euro,27.3,"Single person without children, 50% of AW",23.06,1
2014,Austria,Euro,27.9,"Single person without children, 50% of AW",22.81,1
2015,Austria,Euro,28.9,"Single person without children, 50% of AW",23.33,1
2016,Austria,Euro,29.3,"Single person without children, 50% of AW",21.88,1
2017,Austria,Euro,30,"Single person without children, 50% of AW",21.39,1
2018,Austria,Euro,30.9,"Single person without children, 50% of AW",21.71,1
2019,Austria,Euro,31.7,"Single person without children, 50% of AW",21.31,1
2010,Belgium,Euro,34.3,"Single person without children, 50% of AW",27.59,2
2011,Belgium,Euro,35.1,"Single person without children, 50% of AW",27.61,2
2012,Belgium,Euro,36.2,"Single person without children, 50% of AW",27.52,2
2013,Belgium,Euro,37.2,"Single person without children, 50% of AW",26.15,2
2014,Belgium,Euro,37.6,"Single person without children, 50% of AW",25.94,2
2015,Belgium,Euro,37.8,"Single person without children, 50% of AW",24.98,2
2016,Belgium,Euro,37.9,"Single person without children, 50% of AW",21.53,2
2017,Belgium,Euro,38.4,"Single person without children, 50% of AW",21.48,2
2018,Belgium,Euro,39.1,"Single person without children, 50% of AW",20.13,2
2019,Belgium,Euro,:,"Single person without children, 50% of AW",18.93,2
2010,Bulgaria,Euro,3.2,"Single person without children, 50% of AW",20.89,3
2011,Bulgaria,Euro,3.4,"Single person without children, 50% of AW",21.61,3
2012,Bulgaria,Euro,3.7,"Single person without children, 50% of AW",21.61,3
2013,Bulgaria,Euro,4,"Single person without children, 50% of AW",21.61,3
2014,Bulgaria,Euro,4.2,"Single person without children, 50% of AW",21.61,3
2015,Bulgaria,Euro,4.4,"Single person without children, 50% of AW",21.61,3
2016,Bulgaria,Euro,4.7,"Single person without children, 50% of AW",21.61,3
2017,Bulgaria,Euro,5.2,"Single person without children, 50% of AW",22.01,3
2018,Bulgaria,Euro,5.7,"Single person without children, 50% of AW",22.4,3
2019,Bulgaria,Euro,6.1,"Single person without children, 50% of AW",22.4,3
2010,Croatia,Euro,8.3,"Single person without children, 50% of AW",:,4
2011,Croatia,Euro,8.4,"Single person without children, 50% of AW",:,4
2012,Croatia,Euro,8.5,"Single person without children, 50% of AW",:,4
2013,Croatia,Euro,8.4,"Single person without children, 50% of AW",22.54,4
2014,Croatia,Euro,8,"Single person without children, 50% of AW",22.58,4
2015,Croatia,Euro,8.4,"Single person without children, 50% of AW",21.21,4
2016,Croatia,Euro,8.5,"Single person without children, 50% of AW",21.43,4
2017,Croatia,Euro,8.7,"Single person without children, 50% of AW",20,4
2018,Croatia,Euro,9,"Single person without children, 50% of AW",20,4
2019,Croatia,Euro,:,"Single person without children, 50% of AW",20,4
2010,Cyprus,Euro,14.8,"Single person without children, 50% of AW",:,5
2011,Cyprus,Euro,15,"Single person without children, 50% of AW",:,5
2012,Cyprus,Euro,15.3,"Single person without children, 50% of AW",:,5
2013,Cyprus,Euro,14.7,"Single person without children, 50% of AW",:,5
2014,Cyprus,Euro,14.2,"Single person without children, 50% of AW",7.8,5
2015,Cyprus,Euro,13.9,"Single person without children, 50% of AW",:,5
2016,Cyprus,Euro,13.6,"Single person without children, 50% of AW",:,5
2017,Cyprus,Euro,13.9,"Single person without children, 50% of AW",7.8,5
2018,Cyprus,Euro,14,"Single person without children, 50% of AW",7.8,5
2019,Cyprus,Euro,14.5,"Single person without children, 50% of AW",8.3,5
2010,Czechia,Euro,8.5,"Single person without children, 50% of AW",13.81,6
2011,Czechia,Euro,9,"Single person without children, 50% of AW",15.09,6
2012,Czechia,Euro,9,"Single person without children, 50% of AW",14.68,6
2013,Czechia,Euro,8.7,"Single person without children, 50% of AW",14.64,6
2014,Czechia,Euro,8.4,"Single person without children, 50% of AW",15.11,6
2015,Czechia,Euro,8.8,"Single person without children, 50% of AW",15.61,6
2016,Czechia,Euro,9.1,"Single person without children, 50% of AW",16.26,6
2017,Czechia,Euro,9.9,"Single person without children, 50% of AW",17.2,6
2018,Czechia,Euro,11,"Single person without children, 50% of AW",18.17,6
2019,Czechia,Euro,11.6,"Single person without children, 50% of AW",18.92,6
2010,Denmark,Euro,35.2,"Single person without children, 50% of AW",31.21,7
2011,Denmark,Euro,35.3,"Single person without children, 50% of AW",31.45,7
2012,Denmark,Euro,36.3,"Single person without children, 50% of AW",31.57,7
2013,Denmark,Euro,36.7,"Single person without children, 50% of AW",31,7
2014,Denmark,Euro,37.6,"Single person without children, 50% of AW",30.8,7
2015,Denmark,Euro,38.5,"Single person without children, 50% of AW",31.13,7
2016,Denmark,Euro,38.8,"Single person without children, 50% of AW",31.1,7
2017,Denmark,Euro,39.6,"Single person without children, 50% of AW",31.01,7
2018,Denmark,Euro,40.8,"Single person without children, 50% of AW",30.25,7
2019,Denmark,Euro,41.3,"Single person without children, 50% of AW",30.38,7
2010,Estonia,Euro,7.4,"Single person without children, 50% of AW",15.75,8
2011,Estonia,Euro,7.4,"Single person without children, 50% of AW",16.21,8
2012,Estonia,Euro,8,"Single person without children, 50% of AW",16.62,8
2013,Estonia,Euro,8.5,"Single person without children, 50% of AW",16.39,8
2014,Estonia,Euro,9.1,"Single person without children, 50% of AW",16.7,8
2015,Estonia,Euro,9.4,"Single person without children, 50% of AW",15.61,8
2016,Estonia,Euro,10,"Single person without children, 50% of AW",11.47,8
2017,Estonia,Euro,10.7,"Single person without children, 50% of AW",15.52,8
2018,Estonia,Euro,12.1,"Single person without children, 50% of AW",6.03,8
2019,Estonia,Euro,13.1,"Single person without children, 50% of AW",7.26,8
2010,Finland,Euro,26.7,"Single person without children, 50% of AW",18.62,9
2011,Finland,Euro,27.6,"Single person without children, 50% of AW",18.47,9
2012,Finland,Euro,28.5,"Single person without children, 50% of AW",17.79,9
2013,Finland,Euro,29,"Single person without children, 50% of AW",18.86,9
2014,Finland,Euro,29.3,"Single person without children, 50% of AW",19.09,9
2015,Finland,Euro,29.8,"Single person without children, 50% of AW",19.27,9
2016,Finland,Euro,30,"Single person without children, 50% of AW",18.67,9
2017,Finland,Euro,29.8,"Single person without children, 50% of AW",18.06,9
2018,Finland,Euro,30.1,"Single person without children, 50% of AW",17.87,9
2019,Finland,Euro,30.5,"Single person without children, 50% of AW",17.52,9
2010,France,Euro,29.7,"Single person without children, 50% of AW",19.04,10
2011,France,Euro,30.3,"Single person without children, 50% of AW",19.76,10
2012,France,Euro,31,"Single person without children, 50% of AW",20.22,10
2013,France,Euro,31.9,"Single person without children, 50% of AW",18.93,10
2014,France,Euro,32.4,"Single person without children, 50% of AW",19.44,10
2015,France,Euro,32.7,"Single person without children, 50% of AW",22.06,10
2016,France,Euro,33,"Single person without children, 50% of AW",15.57,10
2017,France,Euro,33.9,"Single person without children, 50% of AW",16.15,10
2018,France,Euro,34.7,"Single person without children, 50% of AW",15.68,10
2019,France,Euro,34.5,"Single person without children, 50% of AW",9.36,10
2010,Germany (until 1990 former territory of the FRG),Euro,26.2,"Single person without children, 50% of AW",30.38,11
2011,Germany (until 1990 former territory of the FRG),Euro,26.9,"Single person without children, 50% of AW",31.07,11
2012,Germany (until 1990 former territory of the FRG),Euro,28,"Single person without children, 50% of AW",31.17,11
2013,Germany (until 1990 former territory of the FRG),Euro,28.8,"Single person without children, 50% of AW",30.83,11
2014,Germany (until 1990 former territory of the FRG),Euro,29.4,"Single person without children, 50% of AW",30.84,11
2015,Germany (until 1990 former territory of the FRG),Euro,30.2,"Single person without children, 50% of AW",30.98,11
2016,Germany (until 1990 former territory of the FRG),Euro,31,"Single person without children, 50% of AW",31.13,11
2017,Germany (until 1990 former territory of the FRG),Euro,31.7,"Single person without children, 50% of AW",31.14,11
2018,Germany (until 1990 former territory of the FRG),Euro,32.6,"Single person without children, 50% of AW",31.12,11
2019,Germany (until 1990 former territory of the FRG),Euro,33.7,"Single person without children, 50% of AW",30.7,11
2010,Greece,Euro,13.4,"Single person without children, 50% of AW",16,12
2011,Greece,Euro,12.9,"Single person without children, 50% of AW",20.35,12
2012,Greece,Euro,12.5,"Single person without children, 50% of AW",20.5,12
2013,Greece,Euro,11.6,"Single person without children, 50% of AW",16.5,12
2014,Greece,Euro,11.6,"Single person without children, 50% of AW",16,12
2015,Greece,Euro,11.3,"Single person without children, 50% of AW",15.5,12
2016,Greece,Euro,11.2,"Single person without children, 50% of AW",15.79,12
2017,Greece,Euro,11.2,"Single person without children, 50% of AW",16.04,12
2018,Greece,Euro,11.3,"Single person without children, 50% of AW",16.62,12
2019,Greece,Euro,11.6,"Single person without children, 50% of AW",16.59,12
2010,Hungary,Euro,7.1,"Single person without children, 50% of AW",24.16,13
2011,Hungary,Euro,7.3,"Single person without children, 50% of AW",26.84,13
2012,Hungary,Euro,7.3,"Single person without children, 50% of AW",34.5,13
2013,Hungary,Euro,7.2,"Single person without children, 50% of AW",34.5,13
2014,Hungary,Euro,6.9,"Single person without children, 50% of AW",34.5,13
2015,Hungary,Euro,7,"Single person without children, 50% of AW",34.5,13
2016,Hungary,Euro,7,"Single person without children, 50% of AW",33.5,13
2017,Hungary,Euro,7.6,"Single person without children, 50% of AW",33.5,13
2018,Hungary,Euro,7.9,"Single person without children, 50% of AW",33.5,13
2019,Hungary,Euro,8.5,"Single person without children, 50% of AW",33.5,13
2010,Iceland,Euro,20.4,"Single person without children, 50% of AW",16.68,14
2011,Iceland,Euro,22,"Single person without children, 50% of AW",18.16,14
2012,Iceland,Euro,23.4,"Single person without children, 50% of AW",18.69,14
2013,Iceland,Euro,24.4,"Single person without children, 50% of AW",19.5,14
2014,Iceland,Euro,26.8,"Single person without children, 50% of AW",19.7,14
2015,Iceland,Euro,30.6,"Single person without children, 50% of AW",20.58,14
2016,Iceland,Euro,36.1,"Single person without children, 50% of AW",21.29,14
2017,Iceland,Euro,42.5,"Single person without children, 50% of AW",21.61,14
2018,Iceland,Euro,42.9,"Single person without children, 50% of AW",22.28,14
2019,Iceland,Euro,41.4,"Single person without children, 50% of AW",22.01,14
2010,Ireland,Euro,27.4,"Single person without children, 50% of AW",7.3,15
2011,Ireland,Euro,27.3,"Single person without children, 50% of AW",10.65,15
2012,Ireland,Euro,27.4,"Single person without children, 50% of AW",11.03,15
2013,Ireland,Euro,27.3,"Single person without children, 50% of AW",12.5,15
2014,Ireland,Euro,27.2,"Single person without children, 50% of AW",12.64,15
2015,Ireland,Euro,27.6,"Single person without children, 50% of AW",12,15
2016,Ireland,Euro,28.3,"Single person without children, 50% of AW",11.58,15
2017,Ireland,Euro,28.9,"Single person without children, 50% of AW",11.38,15
2018,Ireland,Euro,29.3,"Single person without children, 50% of AW",11.76,15
2019,Ireland,Euro,30.7,"Single person without children, 50% of AW",12.2,15
2010,Italy,Euro,21.7,"Single person without children, 50% of AW",21.7,16
2011,Italy,Euro,21.9,"Single person without children, 50% of AW",22.46,16
2012,Italy,Euro,22.1,"Single person without children, 50% of AW",22.78,16
2013,Italy,Euro,22.5,"Single person without children, 50% of AW",23.08,16
2014,Italy,Euro,22.5,"Single person without children, 50% of AW",17.78,16
2015,Italy,Euro,22.7,"Single person without children, 50% of AW",15.82,16
2016,Italy,Euro,22.6,"Single person without children, 50% of AW",15.86,16
2017,Italy,Euro,22.7,"Single person without children, 50% of AW",15.91,16
2018,Italy,Euro,23.1,"Single person without children, 50% of AW",16.15,16
2019,Italy,Euro,23.4,"Single person without children, 50% of AW",16.51,16
2010,Latvia,Euro,5.3,"Single person without children, 50% of AW",28.4,17
2011,Latvia,Euro,5.4,"Single person without children, 50% of AW",28.22,17
2012,Latvia,Euro,5.9,"Single person without children, 50% of AW",28.38,17
2013,Latvia,Euro,6.3,"Single person without children, 50% of AW",27.9,17
2014,Latvia,Euro,6.7,"Single person without children, 50% of AW",27.12,17
2015,Latvia,Euro,7.4,"Single person without children, 50% of AW",26.77,17
2016,Latvia,Euro,8,"Single person without children, 50% of AW",25.73,17
2017,Latvia,Euro,8.6,"Single person without children, 50% of AW",25.53,17
2018,Latvia,Euro,9.3,"Single person without children, 50% of AW",21.53,17
2019,Latvia,Euro,10.3,"Single person without children, 50% of AW",21.62,17
2010,Lithuania,Euro,5.5,"Single person without children, 50% of AW",17.25,18
2011,Lithuania,Euro,5.9,"Single person without children, 50% of AW",17.55,18
2012,Lithuania,Euro,6.2,"Single person without children, 50% of AW",17.97,18
2013,Lithuania,Euro,6.6,"Single person without children, 50% of AW",18.48,18
2014,Lithuania,Euro,6.9,"Single person without children, 50% of AW",17.24,18
2015,Lithuania,Euro,7.2,"Single person without children, 50% of AW",17.82,18
2016,Lithuania,Euro,7.6,"Single person without children, 50% of AW",16.84,18
2017,Lithuania,Euro,8.5,"Single person without children, 50% of AW",13.88,18
2018,Lithuania,Euro,9.1,"Single person without children, 50% of AW",12.8,18
2019,Lithuania,Euro,9.7,"Single person without children, 50% of AW",29.72,18
2010,Luxembourg,Euro,38.7,"Single person without children, 50% of AW",15.43,19
2011,Luxembourg,Euro,39.5,"Single person without children, 50% of AW",16.69,19
2012,Luxembourg,Euro,40.4,"Single person without children, 50% of AW",16.19,19
2013,Luxembourg,Euro,41.5,"Single person without children, 50% of AW",17.05,19
2014,Luxembourg,Euro,43,"Single person without children, 50% of AW",17.4,19
2015,Luxembourg,Euro,43.5,"Single person without children, 50% of AW",18.12,19
2016,Luxembourg,Euro,43.9,"Single person without children, 50% of AW",18.26,19
2017,Luxembourg,Euro,45.4,"Single person without children, 50% of AW",15.91,19
2018,Luxembourg,Euro,46.9,"Single person without children, 50% of AW",16.24,19
2019,Luxembourg,Euro,:,"Single person without children, 50% of AW",13.89,19
2010,Malta,Euro,10,"Single person without children, 50% of AW",10.79,20
2011,Malta,Euro,10.7,"Single person without children, 50% of AW",12.06,20
2012,Malta,Euro,11,"Single person without children, 50% of AW",12.53,20
2013,Malta,Euro,11.5,"Single person without children, 50% of AW",12.88,20
2014,Malta,Euro,12,"Single person without children, 50% of AW",12.56,20
2015,Malta,Euro,12.7,"Single person without children, 50% of AW",12.82,20
2016,Malta,Euro,12.7,"Single person without children, 50% of AW",12.5,20
2017,Malta,Euro,13.1,"Single person without children, 50% of AW",12.83,20
2018,Malta,Euro,13.4,"Single person without children, 50% of AW",13.3,20
2019,Malta,Euro,13.7,"Single person without children, 50% of AW",13.89,20
2010,Netherlands,Euro,31.1,"Single person without children, 50% of AW",21.8,21
2011,Netherlands,Euro,31.6,"Single person without children, 50% of AW",21.72,21
2012,Netherlands,Euro,32.5,"Single person without children, 50% of AW",21.19,21
2013,Netherlands,Euro,32.9,"Single person without children, 50% of AW",21.46,21
2014,Netherlands,Euro,33.3,"Single person without children, 50% of AW",18.93,21
2015,Netherlands,Euro,33.3,"Single person without children, 50% of AW",19.01,21
2016,Netherlands,Euro,33.6,"Single person without children, 50% of AW",15.7,21
2017,Netherlands,Euro,34,"Single person without children, 50% of AW",15.59,21
2018,Netherlands,Euro,34.6,"Single person without children, 50% of AW",15.97,21
2019,Netherlands,Euro,:,"Single person without children, 50% of AW",14.86,21
2010,Norway,Euro,43.9,"Single person without children, 50% of AW",22.15,22
2011,Norway,Euro,47,"Single person without children, 50% of AW",22.26,22
2012,Norway,Euro,51.3,"Single person without children, 50% of AW",22.09,22
2013,Norway,Euro,51.7,"Single person without children, 50% of AW",22.1,22
2014,Norway,Euro,49.6,"Single person without children, 50% of AW",21.85,22
2015,Norway,Euro,47.4,"Single person without children, 50% of AW",21.67,22
2016,Norway,Euro,46.2,"Single person without children, 50% of AW",21.01,22
2017,Norway,Euro,47.3,"Single person without children, 50% of AW",20.64,22
2018,Norway,Euro,47.4,"Single person without children, 50% of AW",20.43,22
2019,Norway,Euro,47.9,"Single person without children, 50% of AW",20.22,22
2010,Poland,Euro,5.7,"Single person without children, 50% of AW",22.31,23
2011,Poland,Euro,5.8,"Single person without children, 50% of AW",22.56,23
2012,Poland,Euro,6,"Single person without children, 50% of AW",22.71,23
2013,Poland,Euro,6.1,"Single person without children, 50% of AW",22.85,23
2014,Poland,Euro,6.2,"Single person without children, 50% of AW",23.09,23
2015,Poland,Euro,6.3,"Single person without children, 50% of AW",23.22,23
2016,Poland,Euro,6.3,"Single person without children, 50% of AW",23.33,23
2017,Poland,Euro,6.9,"Single person without children, 50% of AW",23.51,23
2018,Poland,Euro,7.5,"Single person without children, 50% of AW",23.75,23
2019,Poland,Euro,8,"Single person without children, 50% of AW",23.56,23
2010,Portugal,Euro,11,"Single person without children, 50% of AW",11,24
2011,Portugal,Euro,11,"Single person without children, 50% of AW",11,24
2012,Portugal,Euro,10.7,"Single person without children, 50% of AW",11,24
2013,Portugal,Euro,11,"Single person without children, 50% of AW",11,24
2014,Portugal,Euro,10.7,"Single person without children, 50% of AW",11,24
2015,Portugal,Euro,10.8,"Single person without children, 50% of AW",11,24
2016,Portugal,Euro,10.9,"Single person without children, 50% of AW",11,24
2017,Portugal,Euro,11.2,"Single person without children, 50% of AW",11,24
2018,Portugal,Euro,11.5,"Single person without children, 50% of AW",11,24
2019,Portugal,Euro,11.9,"Single person without children, 50% of AW",11,24
2010,Romania,Euro,4.1,"Single person without children, 50% of AW",25.66,25
2011,Romania,Euro,3.9,"Single person without children, 50% of AW",25.92,25
2012,Romania,Euro,3.9,"Single person without children, 50% of AW",26.04,25
2013,Romania,Euro,4.1,"Single person without children, 50% of AW",22.78,25
2014,Romania,Euro,4.4,"Single person without children, 50% of AW",23.17,25
2015,Romania,Euro,4.5,"Single person without children, 50% of AW",22.89,25
2016,Romania,Euro,5.1,"Single person without children, 50% of AW",22.1,25
2017,Romania,Euro,5.8,"Single person without children, 50% of AW",22.47,25
2018,Romania,Euro,6.5,"Single person without children, 50% of AW",34.57,25
2019,Romania,Euro,6.9,"Single person without children, 50% of AW",35.34,25
2010,Slovakia,Euro,8,"Single person without children, 50% of AW",13.45,26
2011,Slovakia,Euro,8.2,"Single person without children, 50% of AW",15.75,26
2012,Slovakia,Euro,8.5,"Single person without children, 50% of AW",15.74,26
2013,Slovakia,Euro,8.8,"Single person without children, 50% of AW",15.66,26
2014,Slovakia,Euro,9,"Single person without children, 50% of AW",15.99,26
2015,Slovakia,Euro,9.3,"Single person without children, 50% of AW",14.46,26
2016,Slovakia,Euro,9.6,"Single person without children, 50% of AW",15.09,26
2017,Slovakia,Euro,10.3,"Single person without children, 50% of AW",16.3,26
2018,Slovakia,Euro,11,"Single person without children, 50% of AW",17.32,26
2019,Slovakia,Euro,11.7,"Single person without children, 50% of AW",18.28,26
2010,Slovenia,Euro,14.7,"Single person without children, 50% of AW",22.99,27
2011,Slovenia,Euro,15.1,"Single person without children, 50% of AW",23.13,27
2012,Slovenia,Euro,15.1,"Single person without children, 50% of AW",22.94,27
2013,Slovenia,Euro,15,"Single person without children, 50% of AW",22.76,27
2014,Slovenia,Euro,15.1,"Single person without children, 50% of AW",22.94,27
2015,Slovenia,Euro,15.2,"Single person without children, 50% of AW",23.03,27
2016,Slovenia,Euro,16.1,"Single person without children, 50% of AW",23.19,27
2017,Slovenia,Euro,16.9,"Single person without children, 50% of AW",23.49,27
2018,Slovenia,Euro,17.7,"Single person without children, 50% of AW",23.9,27
2019,Slovenia,Euro,18.6,"Single person without children, 50% of AW",24.42,27
2010,Spain,Euro,19.1,"Single person without children, 50% of AW",9.67,28
2011,Spain,Euro,19.1,"Single person without children, 50% of AW",10.8,28
2012,Spain,Euro,19.1,"Single person without children, 50% of AW",11.59,28
2013,Spain,Euro,19.3,"Single person without children, 50% of AW",11.79,28
2014,Spain,Euro,19.3,"Single person without children, 50% of AW",12.03,28
2015,Spain,Euro,19.4,"Single person without children, 50% of AW",9.9,28
2016,Spain,Euro,19.4,"Single person without children, 50% of AW",9.87,28
2017,Spain,Euro,19.6,"Single person without children, 50% of AW",10,28
2018,Spain,Euro,19.7,"Single person without children, 50% of AW",8.05,28
2019,Spain,Euro,20.3,"Single person without children, 50% of AW",6.35,28
2010,Sweden,Euro,24.5,"Single person without children, 50% of AW",19.82,29
2011,Sweden,Euro,26.7,"Single person without children, 50% of AW",19.91,29
2012,Sweden,Euro,28.8,"Single person without children, 50% of AW",19.97,29
2013,Sweden,Euro,29.7,"Single person without children, 50% of AW",20.19,29
2014,Sweden,Euro,28.9,"Single person without children, 50% of AW",19.59,29
2015,Sweden,Euro,28.8,"Single person without children, 50% of AW",19.79,29
2016,Sweden,Euro,28.9,"Single person without children, 50% of AW",20.11,29
2017,Sweden,Euro,29.2,"Single person without children, 50% of AW",20.25,29
2018,Sweden,Euro,28.5,"Single person without children, 50% of AW",20.33,29
2019,Sweden,Euro,28.8,"Single person without children, 50% of AW",19.72,29
2010,United Kingdom,Euro,23.4,"Single person without children, 50% of AW",19.78,30
2011,United Kingdom,Euro,23.3,"Single person without children, 50% of AW",18.14,30
2012,United Kingdom,Euro,24.9,"Single person without children, 50% of AW",17.47,30
2013,United Kingdom,Euro,24.4,"Single person without children, 50% of AW",15.93,30
2014,United Kingdom,Euro,25.9,"Single person without children, 50% of AW",15.17,30
2015,United Kingdom,Euro,29.2,"Single person without children, 50% of AW",14.84,30
2016,United Kingdom,Euro,26.5,"Single person without children, 50% of AW",14.93,30
2017,United Kingdom,Euro,25.5,"Single person without children, 50% of AW",14.97,30
2018,United Kingdom,Euro,26.1,"Single person without children, 50% of AW",14.89,30
2019,United Kingdom,Euro,27.2,"Single person without children, 50% of AW",14.67,30
