geo-time,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
European Union - 27 countries (from 2020),100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
European Union - 28 countries (2013-2020),101.7,,101.6,,101.3,,101.3,,100.8,,101,,100.6,,100.4,,100.3,,100.1,,100.3,,99.9,,99.8,,99.7,
European Union - 15 countries (1995-2004),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",116.9,,116.5,,115.6,,114.9,,113.9,,112.9,,112.2,,112.1,,112.3,,112,,111.1,,111.2,,110.7,,110,
Euro area - 19 countries  (from 2015),114.1,,113.8,,113.3,,112.7,,112.6,,111.8,,111.3,,111.2,,111.4,,111.5,,111.1,,111.2,,110.7,,110,
Euro area - 12 countries (2001-2006),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,142.7,,139.8,,137.9,,136.1,,136.8,,138,,133.9,,134.9,,134.4,,135.7,,136.6,,136.2,,134.2,,132.9,
Bulgaria,37.6,,37.5,,38.7,,39.5,,40,,41.7,,42.6,,43.8,(p),42.7,(p),43.8,(p),44.3,(p),45.6,(p),45.6,(p),46.6,(p)
Czechia,69.4,,70.2,,73.2,,73.7,,74.3,,71.6,,71.2,,70.8,,71.3,,73,,74.5,,73.7,,74.4,,75.2,
Denmark,126.8,,126.6,,126.1,,127.8,,129,,135.2,,132.5,,132.6,,132.6,,133.7,,133.6,,133.4,,134.6,,137.3,
Germany (until 1990 former territory of the FRG),128.9,,126.4,,125.9,,124.7,,122.9,,122.3,,123.6,,122.9,,122.3,,124.2,,123,,124.4,,124,,122.8,
Estonia,50.7,,52.4,,57.2,,57.4,,60.9,,63.5,,63,,64.5,,64.8,,66.4,,64,,64.5,,65.1,,69.3,
Ireland,126,,126.7,,127.3,,120.2,,124.3,,137,,137.8,(b),139.3,,134.2,,136.4,,174.3,,169.6,,171.9,,176.6,
Greece,78.3,,80.9,,79.1,,79.3,,78.6,,74.1,,69.8,(p),69,(p),69.3,(p),70,(p),67.3,(p),65.8,(p),64.3,(p),64.1,(p)
Spain,98.2,,100.3,,100.7,,100.1,,102.3,,99.7,,98.3,,99.9,,100.2,,100,,98.7,,98.1,,98,(p),95.6,(p)
France,132.2,,132.4,,130.1,,128.2,,128,,126.9,,125.5,,123.3,,125.3,,125.2,,124.6,,124.2,,124.4,(p),125.5,(p)
Croatia,57.9,(p),59.7,(p),61.3,(p),61.8,(d),59.2,(d),57.8,(d),60.1,(d),62,(d),63,(d),61.2,(d),63.3,(d),64.4,(d),64.3,(d),64.7,(d)
Italy,108.9,,107.7,,107.2,,108.3,,108.2,,106.4,,105.9,,105.4,,104.2,,102.7,,101.6,,103,,101.9,,100.5,
Cyprus,83.8,,85.2,,85.9,,86.3,,86,,83.2,,80.8,,79.1,,77.7,,75.7,,76.2,,77.6,,76.6,,76.7,(p)
Latvia,46.4,,46.2,,49.3,,47.6,,48.1,,50.8,,52.3,,53.7,,53.1,,54.6,,55.4,,55.8,,57.7,,58.6,
Lithuania,50,,52.5,,55.5,,57.1,,54.8,,58.2,(b),62.3,,63.4,,64.6,,65.2,,62.8,,61.3,,65.2,,65.4,
Luxembourg,184.1,,192.2,,190.8,,183.7,,179.1,,178.9,,182.4,,177.4,,178.4,,184.4,,183.4,,185.2,,179.8,,178.2,
Hungary,63,,63.4,,64.2,,67.9,,69.4,,69.5,,70.7,,69.1,,69.1,,66.8,,66.5,,62.8,,63.2,,64.9,
Malta,76.2,,73.4,,74.1,,73.1,,72.3,,75,,74,,73.9,,73.8,,76.8,,80.3,,79.1,,80.7,,80.2,
Netherlands,142.1,,142.2,,141.8,,142.3,,137.4,,135,,132.7,,132.5,,133.5,,130.3,,129.4,,126.1,,125.9,(p),125.5,(p)
Austria,117.5,,117.7,,116.8,,116.2,,117.5,,115.7,,115,,117.8,,117.6,,117.8,,119.6,,119.1,,118,,117.8,
Poland,50.2,,49.5,,50.3,,50.9,,53,,57.2,(b),59.1,,60,,59.6,,59.2,,59.5,,59.2,,60.2,,62.4,
Portugal,69,,70.3,,69.6,,69.6,,70.1,,70.2,,67.9,,68.3,,70.2,,69.1,,68.2,,67.8,,66,,65.3,(p)
Romania,33,,36.9,,40.5,,47.6,,48.5,,48.1,,49.1,,50.5,,50.9,,51.8,,53.7,,57.2,,60.4,,62.6,(p)
Slovenia,83.7,,84.7,,85.1,,84.8,,79.6,,79.2,,80.9,,80.7,,79.8,,79.3,,78.2,,80.2,,82.2,,83.5,
Slovakia,66.9,,69.4,,72.3,,75.2,,74.2,,77.8,,76.2,,76.8,,77.7,,78.4,,77.9,,72.6,,72,,73,
Finland,115.4,,114.5,,118.4,,118.7,,115.9,,114.9,,114.5,,111.4,,110,,109.5,,109.6,,110.3,,111.1,,110.1,
Sweden,122,,124,,125.5,,123.9,,121.5,,120.7,,119.7,,119.4,,116.8,,116,,117.5,,113.8,,113.5,,112.5,
United Kingdom,113.2,,112.7,,110.1,,110.2,,106.7,,107.6,,104.5,,103.3,,101.9,,101,,101.9,,99.3,,98.7,,98,
Iceland,:,,:,,:,,113,(p),125,(p),115.3,(p),111.9,(p),111.3,(p),110.4,(p),111.3,(p),114.4,(p),115.8,(p),114.8,(p),117.2,(p)
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,187.6,,194.9,,186.3,,193.7,,176.7,,179.1,,182.3,,185.7,,183.4,,176.5,,158.6,,148.3,,152.5,,157.9,
Switzerland,119.2,,122.8,,128.1,,129.3,,127.3,(e),128.3,,128.2,,128.7,,129.3,,130.2,,129.9,,126.9,,125.7,,126.9,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Turkey,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,